
avgVertices	avgEdges	adjTime	listTime
50	740	48	55
100	3002	170	163
150	6758	359	385
200	12033	567	526
250	18780	876	848
300	27133	1149	1077
350	36895	1968	1909
400	48237	2144	2052
450	61072	2678	2455
500	75426	3253	2941
550	91248	3749	3342
600	108604	4750	4302
650	127479	5441	5041
700	147895	5948	5423
750	169757	6836	6154
800	193223	7719	6960
850	218072	8783	8017
900	244488	10523	9758
950	272545	10970	10207
1000	301955	12821	12360
avgVertices	avgEdges	adjTime	listTime
50	745	39	42
100	2990	138	128
150	6733	304	294
200	12063	526	498
250	18796	806	725
300	27093	1164	1028
350	36931	1464	1322
400	48247	2127	1849
450	61064	3059	2740
500	75385	3443	3144
550	91307	4098	3825
600	108599	4791	4513
650	127503	5831	5294
